order_id,quantity,item_name,choice_description,item_price,choice_1,choice_2,choice_3,choice_4,choice_5
338,1,Chicken Bowl,"Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild), Rice, Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole",$10.98 ,Roasted Chili Corn Salsa (Medium),Fresh Tomato Salsa (Mild),Rice,Black Beans,Fajita Veggies
338,3,Bottled Water,,$3.27 ,,,,,
338,1,Chips and Guacamole,,$3.99 ,,,,,
338,1,Carnitas Soft Tacos,"Fresh Tomato Salsa (Mild), Rice, Pinto Beans, Cheese, Sour Cream",$8.99 ,Fresh Tomato Salsa (Mild),Rice,Pinto Beans,Cheese,Sour Cream
338,1,Canned Soda,Coca Cola,$1.09 ,Coca Cola,,,,
339,1,Carnitas Bowl,"Fresh Tomato (Mild), Guacamole, Sour Cream, Cheese",$11.08 ,Fresh Tomato (Mild),Guacamole,Sour Cream,Cheese,
340,1,Chicken Burrito,"Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce",$8.75 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,Sour Cream
340,1,Chips and Guacamole,,$4.45 ,,,,,
341,1,Steak Bowl,"Fresh Tomato (Mild), Guacamole, Lettuce, Pinto Beans, Rice, Sour Cream, Cheese",$11.08 ,Fresh Tomato (Mild),Guacamole,Lettuce,Pinto Beans,Rice
342,1,Chips and Guacamole,,$3.99 ,,,,,
342,1,Veggie Burrito,"Fresh Tomato Salsa (Mild), Cheese, Pinto Beans, Sour Cream, Rice",$8.49 ,Fresh Tomato Salsa (Mild),Cheese,Pinto Beans,Sour Cream,Rice
343,2,Chips,,$4.30 ,,,,,
343,1,Barbacoa Crispy Tacos,"Roasted Chili Corn Salsa, Fajita Vegetables, Black Beans, Cheese",$9.25 ,Roasted Chili Corn Salsa,Fajita Vegetables,Black Beans,Cheese,
343,1,Chicken Crispy Tacos,"Fresh Tomato Salsa, Rice, Cheese, Lettuce",$8.75 ,Fresh Tomato Salsa,Rice,Cheese,Lettuce,
343,1,Veggie Bowl,"Roasted Chili Corn Salsa, Black Beans, Cheese, Sour Cream, Guacamole",$11.25 ,Roasted Chili Corn Salsa,Black Beans,Cheese,Sour Cream,Guacamole
343,1,Veggie Bowl,"Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole",$11.25 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,Sour Cream
343,1,Carnitas Bowl,"Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream",$9.25 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,Sour Cream
344,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Black Beans, Rice, Fajita Veggies, Sour Cream",$8.49 ,Tomatillo-Green Chili Salsa (Medium),Black Beans,Rice,Fajita Veggies,Sour Cream
344,1,Carnitas Burrito,"Fresh Tomato Salsa (Mild), Pinto Beans, Rice, Fajita Veggies, Sour Cream",$8.99 ,Fresh Tomato Salsa (Mild),Pinto Beans,Rice,Fajita Veggies,Sour Cream
344,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Pinto Beans, Rice, Sour Cream",$8.49 ,Fresh Tomato Salsa (Mild),Pinto Beans,Rice,Sour Cream,
345,1,Chicken Bowl,"Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce",$8.75 ,Tomatillo Red Chili Salsa,Rice,Black Beans,Cheese,Sour Cream
345,1,Chips and Tomatillo Red Chili Salsa,,$2.95 ,,,,,
345,1,Chips and Guacamole,,$4.45 ,,,,,
346,1,Barbacoa Bowl,"Tomatillo Red Chili Salsa, Rice, Cheese, Lettuce",$9.25 ,Tomatillo Red Chili Salsa,Rice,Cheese,Lettuce,
346,1,Chips and Roasted Chili Corn Salsa,,$2.95 ,,,,,
346,1,Steak Bowl,Tomatillo Green Chili Salsa,$9.25 ,Tomatillo Green Chili Salsa,,,,
346,1,Veggie Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables",$8.75 ,Roasted Chili Corn Salsa,Fajita Vegetables,,,
347,1,Chicken Bowl,"Fresh Tomato Salsa, Rice, Guacamole",$11.25 ,Fresh Tomato Salsa,Rice,Guacamole,,
347,1,Chips and Guacamole,,$4.45 ,,,,,
348,2,Veggie Bowl,"Fresh Tomato Salsa (Mild), Rice, Sour Cream, Cheese, Pinto Beans",$16.98 ,Fresh Tomato Salsa (Mild),Rice,Sour Cream,Cheese,Pinto Beans
349,1,Veggie Burrito,"Tomatillo-Green Chili Salsa (Medium), Black Beans, Rice, Cheese",$8.49 ,Tomatillo-Green Chili Salsa (Medium),Black Beans,Rice,Cheese,
349,1,Chips and Fresh Tomato Salsa,,$2.39 ,,,,,
350,1,Chicken Bowl,"Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole",$11.25 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,Sour Cream
350,3,Canned Soft Drink,Sprite,$3.75 ,Sprite,,,,
351,1,Carnitas Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Pinto Beans, Lettuce",$9.25 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Pinto Beans,Lettuce
351,1,Chips and Guacamole,,$4.45 ,,,,,
352,1,Barbacoa Burrito,"Roasted Chili Corn Salsa, Rice, Pinto Beans, Sour Cream, Cheese",$9.25 ,Roasted Chili Corn Salsa,Rice,Pinto Beans,Sour Cream,Cheese
352,1,Barbacoa Burrito,"Roasted Chili Corn Salsa, Rice, Black Beans, Sour Cream, Cheese",$9.25 ,Roasted Chili Corn Salsa,Rice,Black Beans,Sour Cream,Cheese
352,1,Chips and Guacamole,,$4.45 ,,,,,
353,1,Chicken Burrito,"Fresh Tomato Salsa, Rice, Black Beans, Sour Cream, Lettuce",$8.75 ,Fresh Tomato Salsa,Rice,Black Beans,Sour Cream,Lettuce
353,1,Barbacoa Soft Tacos,"Tomatillo Red Chili Salsa, Rice, Pinto Beans, Cheese, Sour Cream",$9.25 ,Tomatillo Red Chili Salsa,Rice,Pinto Beans,Cheese,Sour Cream
354,1,Chicken Burrito,"Fresh Tomato Salsa, Rice, Black Beans, Cheese, Lettuce",$8.75 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,Lettuce
354,1,Barbacoa Burrito,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Lettuce",$9.25 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
355,1,Steak Burrito,"Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce",$9.25 ,Roasted Chili Corn Salsa,Rice,Fajita Vegetables,Sour Cream,Cheese
355,1,Steak Burrito,"Tomatillo Green Chili Salsa, Rice, Fajita Vegetables, Black Beans, Cheese",$9.25 ,Tomatillo Green Chili Salsa,Rice,Fajita Vegetables,Black Beans,Cheese
356,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Fajita Veggies, Sour Cream, Guacamole, Lettuce",$11.48 ,Roasted Chili Corn Salsa (Medium),Rice,Fajita Veggies,Sour Cream,Guacamole
356,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Sour Cream, Lettuce",$8.99 ,Roasted Chili Corn Salsa (Medium),Rice,Sour Cream,Lettuce,
357,2,Chicken Salad Bowl,"Fresh Tomato Salsa, Black Beans, Cheese, Guacamole",$22.50 ,Fresh Tomato Salsa,Black Beans,Cheese,Guacamole,
358,1,Carnitas Burrito,"Roasted Chili Corn Salsa, Cheese, Rice, Guacamole",$11.75 ,Roasted Chili Corn Salsa,Cheese,Rice,Guacamole,
358,1,Chicken Crispy Tacos,"Roasted Chili Corn Salsa, Rice, Cheese, Guacamole",$11.25 ,Roasted Chili Corn Salsa,Rice,Cheese,Guacamole,
358,1,Canned Soft Drink,Coke,$1.25 ,Coke,,,,
359,1,Chicken Bowl,"Tomatillo Green Chili Salsa, Rice, Pinto Beans, Sour Cream, Lettuce",$8.75 ,Tomatillo Green Chili Salsa,Rice,Pinto Beans,Sour Cream,Lettuce
359,1,Chips,,$2.15 ,,,,,
359,1,Canned Soft Drink,Diet Coke,$1.25 ,Diet Coke,,,,
360,1,Chicken Bowl,"Tomatillo Red Chili Salsa, Rice, Sour Cream, Cheese, Guacamole",$11.25 ,Tomatillo Red Chili Salsa,Rice,Sour Cream,Cheese,Guacamole
360,1,Chicken Soft Tacos,"Fresh Tomato Salsa, Rice, Black Beans, Cheese",$8.75 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,
360,1,Canned Soft Drink,Sprite,$1.25 ,Sprite,,,,
361,1,Veggie Burrito,"Fresh Tomato Salsa, Rice, Black Beans, Sour Cream, Guacamole",$11.25 ,Fresh Tomato Salsa,Rice,Black Beans,Sour Cream,Guacamole
361,1,Bottled Water,,$1.50 ,,,,,
362,1,Chicken Soft Tacos,"Fresh Tomato Salsa, Cheese, Sour Cream, Guacamole, Lettuce",$11.25 ,Fresh Tomato Salsa,Cheese,Sour Cream,Guacamole,Lettuce
362,1,Chicken Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Pinto Beans, Sour Cream, Guacamole",$11.25 ,Roasted Chili Corn Salsa,Fajita Vegetables,Pinto Beans,Sour Cream,Guacamole
363,1,Barbacoa Burrito,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream",$9.25 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Cheese,Sour Cream
363,1,6 Pack Soft Drink,Coke,$6.49 ,Coke,,,,
363,2,Chips and Guacamole,,$8.90 ,,,,,
364,1,Chicken Bowl,"Tomatillo Green Chili Salsa, Rice, Cheese, Sour Cream, Lettuce",$8.75 ,Tomatillo Green Chili Salsa,Rice,Cheese,Sour Cream,Lettuce
364,1,Chips and Guacamole,,$4.45 ,,,,,
365,1,Chicken Soft Tacos,"Roasted Chili Corn Salsa, Rice, Cheese, Lettuce, Guacamole",$11.25 ,Roasted Chili Corn Salsa,Rice,Cheese,Lettuce,Guacamole
365,1,Canned Soft Drink,Diet Coke,$1.25 ,Diet Coke,,,,
366,2,Chicken Crispy Tacos,Tomatillo Red Chili Salsa,$17.50 ,Tomatillo Red Chili Salsa,,,,
366,1,Steak Burrito,Tomatillo Red Chili Salsa,$9.25 ,Tomatillo Red Chili Salsa,,,,
367,1,Veggie Bowl,"Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce",$8.75 ,Tomatillo Red Chili Salsa,Fajita Vegetables,Rice,Pinto Beans,Cheese
367,1,Barbacoa Burrito,"Tomatillo Red Chili Salsa, Rice, Cheese, Sour Cream, Guacamole, Lettuce",$11.75 ,Tomatillo Red Chili Salsa,Rice,Cheese,Sour Cream,Guacamole
367,2,Bottled Water,,$3.00 ,,,,,
368,1,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.49 ,Tomatillo-Red Chili Salsa (Hot),Pinto Beans,Rice,Fajita Veggies,Cheese
368,1,Veggie Burrito,"Fresh Tomato Salsa (Mild), Black Beans, Rice, Cheese, Sour Cream, Lettuce",$8.49 ,Fresh Tomato Salsa (Mild),Black Beans,Rice,Cheese,Sour Cream
369,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Rice, Fajita Veggies, Sour Cream, Guacamole",$10.98 ,Fresh Tomato Salsa (Mild),Rice,Fajita Veggies,Sour Cream,Guacamole
369,1,Steak Salad,"Fresh Tomato Salsa (Mild), Rice, Cheese, Sour Cream, Lettuce",$8.99 ,Fresh Tomato Salsa (Mild),Rice,Cheese,Sour Cream,Lettuce
369,1,Chips and Guacamole,,$3.99 ,,,,,
370,1,Chicken Burrito,"Tomatillo Green Chili Salsa, Rice, Cheese, Sour Cream, Lettuce",$8.75 ,Tomatillo Green Chili Salsa,Rice,Cheese,Sour Cream,Lettuce
370,1,Chips and Guacamole,,$4.45 ,,,,,
371,1,Steak Burrito,"Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Sour Cream",$8.99 ,Fresh Tomato Salsa (Mild),Roasted Chili Corn Salsa (Medium),Tomatillo-Red Chili Salsa (Hot),Black Beans,Rice
371,1,Side of Chips,,$1.69 ,,,,,
372,1,Steak Bowl,"Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",$11.75 ,Roasted Chili Corn Salsa,Rice,Black Beans,Cheese,Sour Cream
372,1,Chicken Bowl,"Fresh Tomato Salsa, Rice, Cheese, Sour Cream",$8.75 ,Fresh Tomato Salsa,Rice,Cheese,Sour Cream,
373,1,Veggie Bowl,"Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole",$11.25 ,Roasted Chili Corn Salsa,Rice,Black Beans,Cheese,Sour Cream
373,1,Chips and Guacamole,,$4.45 ,,,,,
374,1,Barbacoa Burrito,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole, Lettuce",$11.75 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Black Beans,Sour Cream
374,1,Canned Soft Drink,Coke,$1.25 ,Coke,,,,
375,1,Steak Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole",$11.75 ,Roasted Chili Corn Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
375,1,Chips and Roasted Chili Corn Salsa,,$2.95 ,,,,,
376,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.99 ,Roasted Chili Corn Salsa (Medium),Rice,Fajita Veggies,Cheese,Sour Cream
376,2,Canned Soda,Mountain Dew,$2.18 ,Mountain Dew,,,,
377,2,Steak Bowl,"Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Cheese",$17.98 ,Roasted Chili Corn Salsa (Medium),Black Beans,Rice,Cheese,
377,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Cheese",$8.99 ,Roasted Chili Corn Salsa (Medium),Black Beans,Rice,Cheese,
378,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Black Beans, Rice, Cheese, Sour Cream, Lettuce",$8.49 ,Fresh Tomato Salsa (Mild),Black Beans,Rice,Cheese,Sour Cream
378,1,Side of Chips,,$1.69 ,,,,,
379,1,Steak Burrito,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce",$11.75 ,Roasted Chili Corn Salsa,Fajita Vegetables,Rice,Cheese,Sour Cream
379,1,Chicken Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce",$11.25 ,Roasted Chili Corn Salsa,Fajita Vegetables,Rice,Cheese,Sour Cream
379,1,Chips and Tomatillo Green Chili Salsa,,$2.95 ,,,,,
379,3,Canned Soft Drink,Lemonade,$3.75 ,Lemonade,,,,
379,1,Steak Crispy Tacos,"Roasted Chili Corn Salsa, Cheese, Sour Cream, Lettuce",$9.25 ,Roasted Chili Corn Salsa,Cheese,Sour Cream,Lettuce,
380,1,Barbacoa Bowl,"Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce",$11.75 ,Tomatillo Red Chili Salsa,Fajita Vegetables,Rice,Black Beans,Pinto Beans
380,1,Chicken Bowl,"Roasted Chili Corn Salsa, Rice, Cheese, Sour Cream, Lettuce",$8.75 ,Roasted Chili Corn Salsa,Rice,Cheese,Sour Cream,Lettuce
380,1,Chips,,$2.15 ,,,,,
380,1,Bottled Water,,$1.50 ,,,,,
381,1,Chicken Soft Tacos,"Tomatillo-Red Chili Salsa (Hot), Cheese",$8.49 ,Tomatillo-Red Chili Salsa (Hot),Cheese,,,
381,1,Nantucket Nectar,Pomegranate Cherry,$3.39 ,Pomegranate Cherry,,,,
382,1,Steak Bowl,"Fresh Tomato (Mild), Lettuce, Black Beans, Rice, Cheese",$8.69 ,Fresh Tomato (Mild),Lettuce,Black Beans,Rice,Cheese
382,1,Chips and Guacamole,,$3.89 ,,,,,
383,1,Chicken Bowl,"Tomatillo Green Chili Salsa, Rice, Cheese, Sour Cream, Lettuce",$8.75 ,Tomatillo Green Chili Salsa,Rice,Cheese,Sour Cream,Lettuce
383,1,Chips and Guacamole,,$4.45 ,,,,,
384,1,Chicken Bowl,"Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream",$8.75 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,Sour Cream
384,1,Veggie Burrito,"Fresh Tomato Salsa, Rice, Black Beans, Guacamole, Lettuce",$11.25 ,Fresh Tomato Salsa,Rice,Black Beans,Guacamole,Lettuce
384,1,Chips,,$2.15 ,,,,,
384,1,Chicken Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce",$8.75 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Cheese,Sour Cream
385,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Pinto Beans, Rice, Cheese, Sour Cream, Lettuce",$8.49 ,Fresh Tomato Salsa (Mild),Pinto Beans,Rice,Cheese,Sour Cream
385,1,Side of Chips,,$1.69 ,,,,,
386,1,Veggie Bowl,"Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Black Beans, Rice, Fajita Veggies, Cheese",$8.49 ,Tomatillo-Red Chili Salsa (Hot),Pinto Beans,Black Beans,Rice,Fajita Veggies
386,1,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.49 ,Tomatillo-Red Chili Salsa (Hot),Rice,Fajita Veggies,Cheese,Sour Cream
387,1,Canned Soft Drink,Lemonade,$1.25 ,Lemonade,,,,
387,1,Chicken Burrito,"Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce",$8.75 ,Roasted Chili Corn Salsa,Rice,Fajita Vegetables,Sour Cream,Cheese
387,1,Steak Burrito,"Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Cheese, Lettuce, Guacamole",$11.75 ,Roasted Chili Corn Salsa,Rice,Fajita Vegetables,Cheese,Lettuce
387,1,Steak Burrito,"Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Sour Cream, Lettuce, Guacamole",$11.75 ,Roasted Chili Corn Salsa,Rice,Fajita Vegetables,Sour Cream,Lettuce
388,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Cheese, Sour Cream",$8.99 ,Tomatillo-Red Chili Salsa (Hot),Pinto Beans,Rice,Cheese,Sour Cream
388,1,Bottled Water,,$1.09 ,,,,,
389,1,Chicken Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Sour Cream",$8.75 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Black Beans,Sour Cream
389,1,Chips and Guacamole,,$4.45 ,,,,,
389,1,Chicken Crispy Tacos,"Fresh Tomato Salsa, Lettuce",$8.75 ,Fresh Tomato Salsa,Lettuce,,,
389,1,Chips and Fresh Tomato Salsa,,$2.95 ,,,,,
389,1,Chicken Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream",$8.75 ,Roasted Chili Corn Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
389,1,Chips,,$2.15 ,,,,,
390,1,Chips and Guacamole,,$3.99 ,,,,,
390,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Rice, Cheese, Sour Cream, Lettuce",$8.49 ,Fresh Tomato Salsa (Mild),Rice,Cheese,Sour Cream,Lettuce
391,1,Steak Bowl,"Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.99 ,Fresh Tomato Salsa (Mild),Roasted Chili Corn Salsa (Medium),Pinto Beans,Rice,Fajita Veggies
391,1,Chips and Guacamole,,$3.99 ,,,,,
392,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese",$8.49 ,Tomatillo-Red Chili Salsa (Hot),Black Beans,Rice,Cheese,
392,1,Side of Chips,,$1.69 ,,,,,
392,1,Canned Soda,Coca Cola,$1.09 ,Coca Cola,,,,
393,1,Steak Burrito,"Fresh Tomato Salsa (Mild), Pinto Beans, Rice, Cheese, Sour Cream, Lettuce",$8.99 ,Fresh Tomato Salsa (Mild),Pinto Beans,Rice,Cheese,Sour Cream
393,1,Canned Soda,Sprite,$1.09 ,Sprite,,,,
394,1,Carnitas Burrito,"Fresh Tomato Salsa, Rice, Pinto Beans, Cheese",$9.25 ,Fresh Tomato Salsa,Rice,Pinto Beans,Cheese,
394,1,Veggie Salad Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Lettuce",$8.75 ,Fresh Tomato Salsa,Fajita Vegetables,Lettuce,,
395,1,Steak Soft Tacos,"Tomatillo-Red Chili Salsa (Hot), Cheese, Sour Cream, Lettuce",$8.99 ,Tomatillo-Red Chili Salsa (Hot),Cheese,Sour Cream,Lettuce,
395,1,Chips and Fresh Tomato Salsa,,$2.39 ,,,,,
396,1,Canned Soft Drink,Diet Coke,$1.25 ,Diet Coke,,,,
396,1,Canned Soft Drink,Coke,$1.25 ,Coke,,,,
396,1,Chicken Burrito,"Fresh Tomato Salsa, Fajita Vegetables, Sour Cream, Cheese, Guacamole",$11.25 ,Fresh Tomato Salsa,Fajita Vegetables,Sour Cream,Cheese,Guacamole
396,1,Chicken Soft Tacos,"Fresh Tomato Salsa, Sour Cream, Cheese, Guacamole",$11.25 ,Fresh Tomato Salsa,Sour Cream,Cheese,Guacamole,
397,1,Steak Burrito,"Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream",$9.25 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,Sour Cream
397,1,Steak Soft Tacos,"Fresh Tomato Salsa, Cheese, Sour Cream",$9.25 ,Fresh Tomato Salsa,Cheese,Sour Cream,,
398,1,Chicken Soft Tacos,"Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Lettuce, Guacamole",$11.25 ,Roasted Chili Corn Salsa,Rice,Black Beans,Cheese,Lettuce
398,1,Bottled Water,,$1.50 ,,,,,
399,1,Chips and Guacamole,,$3.99 ,,,,,
399,1,Veggie Burrito,"Fresh Tomato Salsa (Mild), Rice, Pinto Beans, Cheese, Sour Cream",$8.49 ,Fresh Tomato Salsa (Mild),Rice,Pinto Beans,Cheese,Sour Cream
400,1,Veggie Burrito,"Tomatillo Green Chili Salsa, Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole",$11.25 ,Tomatillo Green Chili Salsa,Rice,Fajita Vegetables,Pinto Beans,Sour Cream
400,1,Carnitas Burrito,Tomatillo Red Chili Salsa,$9.25 ,Tomatillo Red Chili Salsa,,,,
400,1,Chicken Bowl,"Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Lettuce, Guacamole",$11.25 ,Tomatillo Red Chili Salsa,Rice,Black Beans,Cheese,Lettuce
401,2,Chicken Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Lettuce",$17.50 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Lettuce,
402,1,Chicken Bowl,"Fresh Tomato Salsa, Rice, Black Beans, Cheese, Lettuce",$8.75 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,Lettuce
402,2,Chips and Guacamole,,$8.90 ,,,,,
402,1,Chicken Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce",$8.75 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
402,1,Chicken Bowl,"Tomatillo Green Chili Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce",$8.75 ,Tomatillo Green Chili Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
403,1,Barbacoa Burrito,"Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Cheese, Sour Cream",$8.99 ,Roasted Chili Corn Salsa (Medium),Black Beans,Rice,Cheese,Sour Cream
403,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 ,,,,,
404,1,Chicken Burrito,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Pinto Beans, Cheese, Guacamole, Lettuce",$11.25 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Pinto Beans,Cheese
404,1,Carnitas Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce",$9.25 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Pinto Beans,Cheese
404,1,Chips,,$2.15 ,,,,,
405,1,Chicken Burrito,"Fresh Tomato Salsa, Fajita Vegetables, Pinto Beans, Cheese, Guacamole",$11.25 ,Fresh Tomato Salsa,Fajita Vegetables,Pinto Beans,Cheese,Guacamole
405,1,Canned Soft Drink,Diet Coke,$1.25 ,Diet Coke,,,,
406,1,Barbacoa Soft Tacos,"Tomatillo Red Chili Salsa, Black Beans, Cheese, Sour Cream, Guacamole",$11.75 ,Tomatillo Red Chili Salsa,Black Beans,Cheese,Sour Cream,Guacamole
406,1,Canned Soft Drink,Diet Coke,$1.25 ,Diet Coke,,,,
407,1,Chicken Burrito,"Roasted Chili Corn Salsa, Rice, Sour Cream, Cheese, Guacamole",$11.25 ,Roasted Chili Corn Salsa,Rice,Sour Cream,Cheese,Guacamole
407,1,Steak Burrito,"Roasted Chili Corn Salsa, Rice, Sour Cream, Cheese, Guacamole",$11.75 ,Roasted Chili Corn Salsa,Rice,Sour Cream,Cheese,Guacamole
408,1,Canned Soft Drink,Coke,$1.25 ,Coke,,,,
408,1,Chicken Bowl,"Tomatillo Green Chili Salsa, Rice, Sour Cream, Cheese, Guacamole",$11.25 ,Tomatillo Green Chili Salsa,Rice,Sour Cream,Cheese,Guacamole
408,1,Chicken Bowl,"Fresh Tomato Salsa, Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole",$11.25 ,Fresh Tomato Salsa,Rice,Fajita Vegetables,Pinto Beans,Sour Cream
409,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream",$8.49 ,Fresh Tomato Salsa (Mild),Tomatillo-Red Chili Salsa (Hot),Black Beans,Rice,Cheese
409,1,Chicken Bowl,"Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Sour Cream, Guacamole",$10.98 ,Roasted Chili Corn Salsa (Medium),Black Beans,Rice,Sour Cream,Guacamole
410,1,Chicken Burrito,"Roasted Chili Corn Salsa, Rice, Black Beans",$8.75 ,Roasted Chili Corn Salsa,Rice,Black Beans,,
410,1,Canned Soft Drink,Diet Coke,$1.25 ,Diet Coke,,,,
410,1,Chicken Soft Tacos,"Roasted Chili Corn Salsa, Black Beans, Lettuce",$8.75 ,Roasted Chili Corn Salsa,Black Beans,Lettuce,,
411,1,Chicken Bowl,"Roasted Chili Corn Salsa (Medium), Rice, Cheese",$8.49 ,Roasted Chili Corn Salsa (Medium),Rice,Cheese,,
411,1,Chicken Bowl,"Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Cheese, Sour Cream, Lettuce",$8.49 ,Roasted Chili Corn Salsa (Medium),Black Beans,Rice,Cheese,Sour Cream
412,1,Bottled Water,,$1.50 ,,,,,
